Identifier (RIC),Company Name,Country of Headquarters,"Company Market Cap
(EUR)","Total Assets
(FY-1, EUR)","Retained Earnings
(FY-1, EUR)","Earnings before Interest & Taxes (EBIT)
(FY-1, EUR)","Total Liabilities
(FY-1, EUR)","Revenue from Business Activities - Total
(FY-1, EUR)","Working Capital
(FY-1, EUR)",Organization Status Code,TRBC Economic Sector Name,Delisted Quote Flag,Issuer Rating,Credit Combined PD (%),Region
KAR.AT,Karelia Tobacco Company Inc,Greece,1179829555,953114000,74164000,106025000,160866000,1508858000,589501000,Act,Consumer Non-Cyclicals,FALSE,,0,South
FRLr.AT,Fourlis Holdings SA,Greece,235808103.5,1050070000,-5777538000,26729000,746341000,529692000,240539000,Act,Consumer Cyclicals,FALSE,,0,South
LEV.AT,N Leventeris SA,Greece,2310587.034,5987361.26,-1055804.4,-576802.49,3122567.66,871114.4,-484798.19,Act,Basic Materials,FALSE,,0,South
PIP.AT,Pipeworks L. Tzirakian Profil SA,Greece,6240727.847,35083287,-3749874,-2378855,28635354,25699005,-4137860,Act,Basic Materials,FALSE,,0,South
OLEO.MC,Deoleo SA,Spain,146320119.9,840040000,-28325000,-38833000,424518000,996649000,76478000,Act,Consumer Non-Cyclicals,FALSE,WR,0,South
HAIr.AT,Haidemenos SA,Greece,5873008.66,24511007,-2169464,-1798423,10825380,16382522,247861,Act,Industrials,FALSE,,0,South
VIS.MC,Viscofan SA,Spain,2776424252,1402848000,157019000,201959000,463937000,1203994000,415004000,Act,Basic Materials,FALSE,,0,South
CSP.MI,CSP International Fashion Group SpA,Italy,12129740.34,94654000,-365000,2125000,42595000,88895000,35260000,Act,Consumer Cyclicals,FALSE,,0,South
BABr.AT,Jumbo SA,Greece,3006092971,1706373035,238460900.6,386106899,298229253,1149873264,656410018,Act,Consumer Cyclicals,FALSE,,0,South
CPIr.AT,CPI SA,Greece,5382909.422,13180305,61774,256667,10114066,20277399,1939525,Act,Technology,FALSE,,0,South
EM.MI,Emak SpA,Italy,143266852.9,715514000,1684000,29582000,435200000,601914000,245955000,Act,Industrials,FALSE,,0,South
SOFT.MI,Softlab SpA,Italy,9847408.868,25573000,-121000,318000,16413000,29115000,-1461000,Act,Technology,FALSE,,0,South
REDE.MC,Redeia Corporacion SA,Spain,8343453600,15090219000,-33285000,708411000,8708301000,1594204000,533009000,Act,Utilities,FALSE,BBB,0,South
ADZ.MC,Adolfo Dominguez SA,Spain,52808894.02,107655031,908371,1532478,90642399,136504859,-12898658,Act,Consumer Cyclicals,FALSE,,0,South
ELE.MC,Endesa SA,Spain,41223240568,37345000000,492882335.4,4038000000,28292000000,21307000000,143000000,Act,Utilities,FALSE,A-,0,South
SCYR.MC,Sacyr SA,Spain,3795393214,17968421000,113373000,1226350000,15905777000,4571004000,823742000,Act,Industrials,FALSE,BBB (low),0,South
PSE.OL,Petrolia S.E,Cyprus,29475224.79,60901926.8,3839452.5,7301238.1,19757484.5,51644741.2,20451000.7,Act,Energy,FALSE,,0,South
PETG.LJ,Petrol dd Ljubljana,Slovenia,2433807522,2447129000,52086000,196742000,1470586000,6111679000,143956000,Act,Energy,FALSE,,0,South
MEVr.AT,Mevaco Metallurgical Industrial And Trading Company SA,Greece,90189124.35,69420593,3473390,6645954,35333521,60796870,12765521,Act,Basic Materials,FALSE,,0,South
LAZI.MI,SS Lazio SpA,Italy,103174999.2,292104963,38495467,6958967,291716698,195503303,-107084873,Act,Consumer Cyclicals,FALSE,,0,South
ARN.MI,Alerion Clean Power SpA,Italy,1146887215,1692117000,63086000,133058000,1319459000,223474000,325114000,Act,Utilities,FALSE,,0,South
APE.MC,Amper SA,Spain,463759182.9,408406000,3948000,14921000,345107000,419466000,86923000,Act,Technology,FALSE,,0,South
PSG.MC,Prosegur Compania de Seguridad SA,Spain,1472487443,4634920000,-4931000,303103000,3736857000,4907928000,196711000,Act,Industrials,FALSE,A1,0,South
TRLr.AT,Wool Industry Tria Alfa SA,Greece,6310991.468,5179605,69678,6914,2677372,722427,-422041,Act,Consumer Cyclicals,FALSE,,0,South
VTRr.AT,Bioter SA,Greece,3616982.72,67261000,-21258000,-11638000,206686000,1255000,-178022000,Act,Industrials,FALSE,,0.02,South
XYLr.AT,Interwood Xylemboria ATENE,Greece,12561804.92,45269350.1,-482485.12,1682608.86,33714792.25,38207062.58,4039297.56,Act,Basic Materials,FALSE,,0,South
NEA.MC,Nicolas Correa SA,Spain,119324588,135631000,10414828.16,16470000,49984000,121485000,44240000,Act,Industrials,FALSE,,0,South
REP.MC,Repsol SA,Spain,23478150897,63186000000,1146000000,2550000000,34087000000,51387000000,5581000000,Act,Energy,FALSE,Baa1,0,South
FLXr.AT,Flexopack SA,Greece,96624567.23,223963000,8732492.29,13482000,92809000,156593000,79895000,Act,Basic Materials,FALSE,,0,South
DAL.MI,Datalogic SpA,Italy,336238427.3,726553000,8437000,1941000,295431000,493767000,100348000,Act,Technology,FALSE,,0,South
BRBI.MI,Brembo NV,Italy,3405159977,4630090000,166941883,378978000,2300273000,3840643000,819339000,Act,Consumer Cyclicals,FALSE,,0,South
SEM.LS,SEMAPA Sociedade de Investimento e Gestao SGPS SA,Portugal,1712691471,5329866827,133154564.5,347148773,3207268527,2148769861,192649952,Act,Basic Materials,FALSE,,0,South
EDP.LS,EDP SA,Portugal,18646181463,56430816000,11923675.2,1953473000,39766145000,14965762000,1006486000,Act,Utilities,FALSE,Baa3,0,South
KME.MI,KME Group SpA,Italy,255607799.1,1845610000,-43422112.44,45747000,1486795000,1880532000,-121682000,Act,Basic Materials,FALSE,,0,South
LUI.CY,Louis PLC,Cyprus,48298043.59,364425000,3901000,24440000,358954000,128067000,11103000,Act,Industrials,FALSE,,0,South
MRES.PK,Institute of Biomedical Research Corp,Republic of Montenegro,2739805.488,,,,,,,Act,Healthcare,FALSE,,,South
EVRr.AT,Evrofarma Viomichania Galaktos Anonymi Viomichaniki & Emporiki Etaireia SA,Greece,53396567.96,48237000,1596340,3914000,24679000,45719000,-461000,Act,Consumer Non-Cyclicals,FALSE,,0,South
ITPG.MI,Interpump Group SpA,Italy,3710400063,3391772000,192672000,335951000,1372435000,2078399000,871706000,Act,Industrials,FALSE,,0,South
ROCLF.PK,Royal Olympic Cruise Lines Inc,Greece,12.29680375,567623213.1,-28426630.32,-4474438.2,468565176.8,143752206.4,-57054108.24,Act,Consumer Cyclicals,FALSE,,,South
MEL.MC,Melia Hotels International SA,Spain,2700987492,4581787000,120037333.8,289737000,3241536000,2012786000,-226125000,Act,Consumer Cyclicals,FALSE,NR,0,South
PODR.ZA,Podravka Inc,Croatia,1141357333,835396000,45804814.4,80390000,211068000,766502000,174589000,Act,Consumer Non-Cyclicals,FALSE,,0,South
ALMr.AT,Alumil Aluminium Industry SA,Greece,193272073,487426369,14743407,38055383,306409652,455134754,105848709,Act,Basic Materials,FALSE,,0,South
NVGR.LS,Navigator Company SA,Portugal,2429259641,3353183064,136952574,385638751,1997093880,2088276553,216381360,Act,Basic Materials,FALSE,WR,0,South
OLYr.AT,Technical Olympic SA,Greece,99576291.57,223871977,11561303,3099245,41449077,19114789,74084305,Act,Industrials,FALSE,,0,South
IRC.MI,IRCE SpA,Italy,63210291.28,257092000,5312794.02,14282000,106476000,397654000,104199000,Act,Industrials,FALSE,,0,South
